RUN	ilkPaketim.ilkClass	ilkclass	1557250723120	 	3.0.2
USER	viewCruise	1	START	1557250724275	1557250724275
USER	viewCruise	2	START	1557250724299	1557250724299
USER	viewCruise	3	START	1557250724300	1557250724300
USER	viewCruise	4	START	1557250724301	1557250724301
USER	viewCruise	5	START	1557250724302	1557250724302
USER	viewCruise	6	START	1557250724303	1557250724303
USER	viewCruise	7	START	1557250724305	1557250724305
USER	viewCruise	8	START	1557250724306	1557250724306
USER	viewCruise	9	START	1557250724307	1557250724307
USER	viewCruise	10	START	1557250724308	1557250724308
USER	viewCruise	11	START	1557250724309	1557250724309
USER	viewCruise	12	START	1557250724311	1557250724311
USER	viewCruise	13	START	1557250724312	1557250724312
USER	viewCruise	14	START	1557250724313	1557250724313
USER	viewCruise	15	START	1557250724314	1557250724314
USER	viewCruise	16	START	1557250724315	1557250724315
USER	viewCruise	17	START	1557250724316	1557250724316
USER	viewCruise	18	START	1557250724317	1557250724317
USER	viewCruise	19	START	1557250724318	1557250724318
USER	viewCruise	20	START	1557250724319	1557250724319
USER	viewCruise	21	START	1557250724319	1557250724319
USER	viewCruise	22	START	1557250724320	1557250724320
USER	viewCruise	23	START	1557250724321	1557250724321
USER	viewCruise	24	START	1557250724321	1557250724321
USER	viewCruise	25	START	1557250724322	1557250724322
USER	viewCruise	26	START	1557250724323	1557250724323
USER	viewCruise	27	START	1557250724323	1557250724323
USER	viewCruise	28	START	1557250724324	1557250724324
USER	viewCruise	29	START	1557250724325	1557250724325
USER	viewCruise	30	START	1557250724326	1557250724326
USER	viewCruise	31	START	1557250724326	1557250724326
USER	viewCruise	32	START	1557250724327	1557250724327
USER	viewCruise	33	START	1557250724328	1557250724328
USER	viewCruise	34	START	1557250724328	1557250724328
USER	viewCruise	35	START	1557250724329	1557250724329
USER	viewCruise	36	START	1557250724329	1557250724329
USER	viewCruise	37	START	1557250724330	1557250724330
USER	viewCruise	38	START	1557250724331	1557250724331
USER	viewCruise	39	START	1557250724331	1557250724331
USER	viewCruise	40	START	1557250724332	1557250724332
USER	viewCruise	41	START	1557250724332	1557250724332
USER	viewCruise	42	START	1557250724333	1557250724333
USER	viewCruise	43	START	1557250724334	1557250724334
USER	viewCruise	44	START	1557250724334	1557250724334
USER	viewCruise	45	START	1557250724335	1557250724335
USER	viewCruise	46	START	1557250724335	1557250724335
USER	viewCruise	47	START	1557250724336	1557250724336
USER	viewCruise	48	START	1557250724337	1557250724337
USER	viewCruise	49	START	1557250724337	1557250724337
USER	viewCruise	50	START	1557250724338	1557250724338
REQUEST	18		req_1	1557250724318	1557250724975	OK	 
REQUEST	48		req_1	1557250724337	1557250725038	OK	 
REQUEST	14		req_1	1557250724313	1557250725049	OK	 
REQUEST	33		req_1	1557250724328	1557250725055	OK	 
REQUEST	2		req_1	1557250724299	1557250725058	OK	 
REQUEST	1		req_1	1557250724296	1557250725065	OK	 
REQUEST	19		req_1	1557250724318	1557250725065	OK	 
REQUEST	15		req_1	1557250724314	1557250725259	OK	 
REQUEST	7		req_1	1557250724305	1557250725447	OK	 
REQUEST	32		req_1	1557250724327	1557250725459	OK	 
REQUEST	17		req_1	1557250724317	1557250725657	OK	 
REQUEST	16		req_1	1557250724315	1557250725672	OK	 
REQUEST	30		req_1	1557250724326	1557250725676	OK	 
REQUEST	34		req_1	1557250724329	1557250725691	OK	 
REQUEST	39		req_1	1557250724332	1557250725799	OK	 
REQUEST	10		req_1	1557250724309	1557250725807	OK	 
REQUEST	35		req_1	1557250724329	1557250725887	OK	 
REQUEST	49		req_1	1557250724338	1557250725888	OK	 
REQUEST	47		req_1	1557250724336	1557250725888	OK	 
REQUEST	46		req_1	1557250724336	1557250725888	OK	 
REQUEST	11		req_1	1557250724310	1557250726082	OK	 
REQUEST	8		req_1	1557250724306	1557250726086	OK	 
REQUEST	3		req_1	1557250724301	1557250726268	OK	 
REQUEST	29		req_1	1557250724326	1557250726284	OK	 
REQUEST	31		req_1	1557250724327	1557250726285	OK	 
REQUEST	24		req_1	1557250724322	1557250726287	OK	 
REQUEST	43		req_1	1557250724334	1557250726470	OK	 
REQUEST	13		req_1	1557250724312	1557250726479	OK	 
REQUEST	27		req_1	1557250724324	1557250726487	OK	 
REQUEST	23		req_1	1557250724321	1557250726488	OK	 
REQUEST	12		req_1	1557250724312	1557250726824	OK	 
REQUEST	45		req_1	1557250724335	1557250726836	OK	 
REQUEST	20		req_1	1557250724319	1557250726840	OK	 
REQUEST	5		req_1	1557250724303	1557250726847	OK	 
REQUEST	36		req_1	1557250724330	1557250726847	OK	 
REQUEST	50		req_1	1557250724338	1557250726897	OK	 
REQUEST	22		req_1	1557250724320	1557250727228	OK	 
REQUEST	4		req_1	1557250724302	1557250727253	OK	 
REQUEST	38		req_1	1557250724331	1557250727254	OK	 
REQUEST	6		req_1	1557250724304	1557250727255	OK	 
REQUEST	44		req_1	1557250724335	1557250727421	OK	 
REQUEST	25		req_1	1557250724322	1557250727424	OK	 
REQUEST	21		req_1	1557250724320	1557250727431	OK	 
REQUEST	26		req_1	1557250724323	1557250727435	OK	 
REQUEST	42		req_1	1557250724333	1557250727440	OK	 
REQUEST	28		req_1	1557250724325	1557250727453	OK	 
REQUEST	9		req_1	1557250724307	1557250727458	OK	 
REQUEST	41		req_1	1557250724333	1557250727486	OK	 
REQUEST	40		req_1	1557250724332	1557250727617	OK	 
REQUEST	37		req_1	1557250724330	1557250728055	OK	 
USER	viewCruise	18	END	1557250724317	1557250734993
USER	viewCruise	48	END	1557250724337	1557250735054
USER	viewCruise	14	END	1557250724313	1557250735054
USER	viewCruise	33	END	1557250724328	1557250735065
USER	viewCruise	2	END	1557250724299	1557250735065
USER	viewCruise	19	END	1557250724318	1557250735075
USER	viewCruise	1	END	1557250724275	1557250735075
USER	viewCruise	15	END	1557250724314	1557250735274
USER	viewCruise	7	END	1557250724305	1557250735464
USER	viewCruise	32	END	1557250724327	1557250735474
USER	viewCruise	17	END	1557250724316	1557250735673
USER	viewCruise	16	END	1557250724315	1557250735683
USER	viewCruise	30	END	1557250724326	1557250735693
USER	viewCruise	34	END	1557250724328	1557250735703
USER	viewCruise	39	END	1557250724331	1557250735816
USER	viewCruise	10	END	1557250724308	1557250735826
USER	viewCruise	35	END	1557250724329	1557250735907
USER	viewCruise	46	END	1557250724335	1557250735907
USER	viewCruise	47	END	1557250724336	1557250735907
USER	viewCruise	49	END	1557250724337	1557250735907
USER	viewCruise	11	END	1557250724309	1557250736097
USER	viewCruise	8	END	1557250724306	1557250736102
USER	viewCruise	3	END	1557250724300	1557250736285
USER	viewCruise	29	END	1557250724325	1557250736296
USER	viewCruise	31	END	1557250724326	1557250736296
USER	viewCruise	24	END	1557250724321	1557250736296
USER	viewCruise	43	END	1557250724334	1557250736486
USER	viewCruise	13	END	1557250724312	1557250736496
USER	viewCruise	27	END	1557250724323	1557250736507
USER	viewCruise	23	END	1557250724321	1557250736507
USER	viewCruise	12	END	1557250724311	1557250736834
USER	viewCruise	45	END	1557250724335	1557250736855
USER	viewCruise	20	END	1557250724319	1557250736855
USER	viewCruise	36	END	1557250724329	1557250736865
USER	viewCruise	5	END	1557250724302	1557250736865
USER	viewCruise	50	END	1557250724338	1557250736916
USER	viewCruise	22	END	1557250724320	1557250737242
USER	viewCruise	6	END	1557250724303	1557250737273
USER	viewCruise	38	END	1557250724331	1557250737273
USER	viewCruise	4	END	1557250724301	1557250737273
USER	viewCruise	44	END	1557250724334	1557250737432
USER	viewCruise	21	END	1557250724319	1557250737442
USER	viewCruise	25	END	1557250724322	1557250737442
USER	viewCruise	26	END	1557250724323	1557250737453
USER	viewCruise	42	END	1557250724333	1557250737453
USER	viewCruise	28	END	1557250724324	1557250737473
USER	viewCruise	9	END	1557250724307	1557250737473
USER	viewCruise	41	END	1557250724332	1557250737504
USER	viewCruise	40	END	1557250724332	1557250737623
USER	viewCruise	37	END	1557250724330	1557250738074
